pitcher,player_name,swings,actual_whiff_rate,expected_whiff_rate,stuff_plus,whiff_over_expected
695243,"Miller, Mason",397,0.4433,0.3833,141.3,0.0601
623352,"Hader, Josh",251,0.3386,0.3617,135.6,-0.0231
662253,"Muñoz, Andrés",365,0.3836,0.3565,134.2,0.0271
664854,"Helsley, Ryan",124,0.3629,0.3531,133.3,0.0098
663893,"Little, Brendon",142,0.3521,0.3523,133.1,-0.0002
669093,"Estrada, Jeremiah",232,0.2931,0.3389,129.5,-0.0458
518585,"Cruz, Fernando",392,0.3801,0.3365,128.9,0.0436
656546,"Hoffman, Jeff",513,0.3333,0.335,128.5,-0.0017
605483,"Snell, Blake",130,0.3231,0.3217,124.9,0.0014
683000,"Cornelio, Riley",197,0.2843,0.3183,124.0,-0.0341
676742,"Sanders, Cam",169,0.355,0.3177,123.9,0.0374
694819,"Misiorowski, Jacob",1071,0.352,0.3154,123.3,0.0366
686973,"Varland, Louis",526,0.2567,0.3135,122.7,-0.0568
695505,"Burns, Chase",1092,0.2912,0.3131,122.6,-0.0219
669062,"Miller, Erik",298,0.3322,0.3093,121.6,0.023
670280,"Bednar, David",505,0.2911,0.3077,121.2,-0.0166
594798,"deGrom, Jacob",1043,0.3106,0.3051,120.5,0.0055
687377,"Ribalta, Orlando",319,0.2476,0.304,120.2,-0.0564
669276,"Lee, Dylan",459,0.3399,0.3016,119.6,0.0382
689296,"Nunez, Anthony",358,0.3128,0.2997,119.1,0.0131
669212,"Morgan, Eli",157,0.2293,0.2989,118.9,-0.0696
657097,"Webb, Jacob",481,0.3222,0.2985,118.8,0.0238
621242,"Díaz, Edwin",139,0.2086,0.2978,118.6,-0.0891
656945,"Scott, Tanner",424,0.3208,0.2935,117.4,0.0273
650556,"Abreu, Bryan",343,0.3003,0.2931,117.3,0.0072
683409,"Chivilli, Angel",143,0.3147,0.2922,117.1,0.0225
686218,"Sheehan, Emmet",850,0.2918,0.2922,117.1,-0.0005
668933,"Ashcraft, Graham",203,0.3005,0.2899,116.5,0.0106
554430,"Wheeler, Zack",959,0.2732,0.29,116.5,-0.0168
656986,"Sousa, Bennett",122,0.2951,0.2899,116.5,0.0052
696147,"Bachman, Sam",335,0.3164,0.2893,116.3,0.0271
642207,"Williams, Devin",368,0.3207,0.2894,116.3,0.0313
676477,"Whitlock, Garrett",356,0.2753,0.2886,116.1,-0.0134
656730,"Megill, Trevor",356,0.3034,0.2883,116.1,0.015
643377,"Jax, Griffin",676,0.287,0.2881,116.0,-0.0012
592094,"Adam, Jason",290,0.2621,0.2876,115.9,-0.0255
666374,"Brash, Matt",103,0.301,0.2876,115.9,0.0134
656302,"Cease, Dylan",1078,0.3182,0.2874,115.8,0.0308
661395,"Duran, Jhoan",376,0.3298,0.2869,115.7,0.0429
668909,"Williams, Gavin",1148,0.2866,0.2867,115.6,-0.0001
641329,"Baker, Bryan",425,0.2588,0.2862,115.5,-0.0274
676974,"Meyer, Max",835,0.2659,0.2863,115.5,-0.0205
689254,"Fluharty, Mason",411,0.2506,0.2857,115.4,-0.0351
623454,"Anderson, Drew",609,0.2677,0.286,115.4,-0.0183
681911,"Vesia, Alex",375,0.3173,0.2848,115.1,0.0325
641755,"Kinley, Tyler",305,0.2623,0.2832,114.7,-0.0209
676879,"Ashby, Aaron",500,0.308,0.2834,114.7,0.0246
683003,"Jones, Jared",505,0.2812,0.2812,114.2,-0.0
683769,"Gaddis, Hunter",363,0.281,0.2815,114.2,-0.0005
660853,"De Los Santos, Enyel",501,0.2635,0.2798,113.8,-0.0164
666277,"Soriano, George",438,0.2877,0.278,113.3,0.0096
685126,"Eisert, Brandon",289,0.2872,0.2776,113.2,0.0096
837227,"Imai, Tatsuya",541,0.3013,0.277,113.0,0.0243
670970,"Morejon, Adrian",553,0.3237,0.2762,112.8,0.0475
671922,"Smith, Cade",467,0.3126,0.2754,112.6,0.0373
800311,"Fuentes, Didier",487,0.2731,0.2755,112.6,-0.0024
691799,"Taylor, Grant",491,0.2546,0.2747,112.4,-0.0201
680742,"Bowlan, Jonathan",379,0.2982,0.2745,112.4,0.0237
